time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/collision_rate,rollout/success_rate,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/n_updates,eval/success_rate,eval/mean_reward,eval/mean_ep_length
1,4096,1,2113,95.26315789473684,0.7368421052631579,0.0,-2.514324903488159,,,,,,,,,,,,,
4,8192,2,1909,107.83582089552239,0.6716417910447762,0.0,-2.3495357036590576,0.0003,0.11990409947466105,0.2,-1.9398516900837421,0.062245070934295654,-0.014893174171447754,-0.018416665805852973,0.009766607,0.078125,10,,,
6,12288,3,1964,118.27083333333333,0.59375,0.0,-2.14559268951416,0.0003,0.09088923821691423,0.2,-1.9214699767529964,-0.4356271028518677,-0.053662873804569244,-0.029732549883192405,0.014791951,0.129296875,20,,,
8,16384,4,1958,135.12,0.47,0.01,-1.7927682399749756,0.0003,0.05101059969747439,0.2,-1.8972545564174652,-0.37718236446380615,-0.08686178177595139,-0.04687475931714289,0.021738864,0.1998291015625,30,,,
10,20480,5,1978,144.93,0.37,0.03,-1.1384272575378418,0.0003,0.13083421603078021,0.2,-1.8661153599619866,-0.1253514289855957,-0.07237055897712708,-0.04444173329393379,0.02600935,0.2634521484375,40,,,
12,24576,6,1985,153.42,0.34,0.03,-0.8545544147491455,0.0003,0.4861570571549237,0.2,-1.8424400359392166,-0.2422950267791748,-0.02381594479084015,-0.03908597023691982,0.01918728,0.218896484375,50,,,
,25000,,,,,,,0.0003,0.1268312033964321,0.2,-1.810787882655859,-1.0067946910858154,-0.0998024195432663,-0.061790114641189574,0.030788084,0.3059326171875,60,0.0,-1.4105870723724365,190.25
19,28672,7,1442,154.53,0.34,0.03,-0.4533974826335907,,,,,,,,,,,,,
22,32768,8,1488,155.88,0.34,0.05,0.1199878677725792,0.0003,0.09702526382170618,0.2,-1.782989800721407,-0.189919114112854,-0.10458488762378693,-0.07073385827243328,0.037393503,0.3387451171875,70,,,
24,36864,9,1526,152.52,0.36,0.07,0.6435348391532898,0.0003,0.48324465434998276,0.2,-1.7485093884170055,-0.04170799255371094,0.040601782500743866,-0.04347193174180575,0.02751929,0.2758056640625,80,,,
